Localización,Precio m2,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,Año
Murcia Región,1.458 €/m2,"0,026","0,069","0,181",1.786 €/m2 sep 2006,"- 18,4 %",mayo 2025
Murcia provincia,1.458 €/m2,"0,026","0,069","0,181",1.786 €/m2 sep 2006,"- 18,4 %",mayo 2025
Murcia,1.351 €/m2,"0,012","0,055","0,038",1.757 €/m2 sep 2007,"- 23,1 %",mayo 2025
Navarra,1.753 €/m2,"0,004","0,035","0,021",1.870 €/m2 oct 2007,"- 6,3 %",mayo 2025
Navarra,1.753 €/m2,"0,004","0,035","0,021",1.870 €/m2 oct 2007,"- 6,3 %",mayo 2025
Pamplona/Iruña,2.806 €/m2,"0,01","0,01","0,06",2.827 €/m2 dic 2024,"- 0,7 %",mayo 2025
Andalucía,2.318 €/m2,"0,015","0,037","0,115",2.468 €/m2 mayo 2025,"- 6,1 %",2024
Almería provincia,1.306 €/m2,"0,007","0,021","0,092",1.868 €/m2 jul 2006,"- 30,1 %",2024
Almería,1.534 €/m2,"0,007","0,027","0,111",2.257 €/m2 sep 2008,"- 32,1 %",2024
Cádiz provincia,1.975 €/m2,"0,014","0,031","0,096",2.272 €/m2 abr 2007,"- 13,1 %",2024
Cádiz,3.035 €/m2,"0,025","0,034","0,089",3.035 €/m2 dic 2024,"0,0 %",2024
Córdoba provincia,1.221 €/m2,"0,001","0,015","- 1,8 %",1.801 €/m2 nov 2007,"- 32,2 %",2024
Córdoba,1.545 €/m2,"0,008","0,022","0,055",2.178 €/m2 dic 2007,"- 29,1 %",2024
Granada provincia,1.503 €/m2,"0,012","0,031","0,076",1.782 €/m2 mayo 2007,"- 15,7 %",2024
Granada,2.294 €/m2,"0,0 %","0,016","0,136",2.422 €/m2 mayo 2025,"- 5,3 %",2024
Huelva provincia,1.509 €/m2,"0,009","0,031","0,082",1.919 €/m2 sep 2007,"- 21,4 %",2024
Huelva,1.413 €/m2,"0,007","0,04","0,098",1.678 €/m2 mayo 2008,"- 15,8 %",2024
Jaén provincia,844 €/m2,"- 0,3 %","0,006","0,016",1.320 €/m2 sep 2007,"- 36,1 %",2024
Jaén,1.226 €/m2,"- 0,2 %","0,02","0,067",1.672 €/m2 oct 2008,"- 26,7 %",2024
Málaga provincia,3.507 €/m2,"0,011","0,032","0,139",3.718 €/m2 mayo 2025,"- 5,7 %",2024
Málaga,3.241 €/m2,"0,008","0,047","0,215",3.427 €/m2 mayo 2025,"- 5,4 %",2024
Sevilla provincia,1.625 €/m2,"0,006","0,027","0,044",1.970 €/m2 mar 2008,"- 17,6 %",2024
Sevilla,2.408 €/m2,"0,016","0,023","0,089",2.646 €/m2 sep 2007,"- 9,0 %",2024
Aragón,1.497 €/m2,"0,01","0,031","0,057",2.008 €/m2 mar 2007,"- 25,4 %",2024
Huesca provincia,1.583 €/m2,"- 0,5 %","- 0,3 %","0,062",2.246 €/m2 ago 2007,"- 29,5 %",2024
Huesca,1.703 €/m2,"- 0,9 %","0,015","- 0,4 %",1.738 €/m2 mar 2011,"- 2,0 %",2024
Teruel provincia,958 €/m2,"0,01","0,018","0,05",1.118 €/m2 jun 2008,"- 14,4 %",2024
Teruel,1.469 €/m2,"0,006","0,049","0,117",1.660 €/m2 nov 2010,"- 11,5 %",2024
Zaragoza provincia,1.538 €/m2,"0,014","0,042","0,059",2.135 €/m2 mayo 2007,"- 28,0 %",2024
Zaragoza,1.974 €/m2,"0,02","0,045","0,097",2.787 €/m2 dic 2007,"- 29,1 %",2024
Asturias,1.471 €/m2,"0,011","0,022","0,073",1.867 €/m2 abr 2008,"- 21,2 %",2024
Asturias,1.471 €/m2,"0,011","0,022","0,073",1.867 €/m2 abr 2008,"- 21,2 %",2024
Oviedo,1.861 €/m2,"0,011","0,046","0,114",2.179 €/m2 ene 2009,"- 14,6 %",2024
Baleares,4.707 €/m2,"0,005","0,032","0,153",4.905 €/m2 mayo 2025,"- 4,0 %",2024
Baleares,4.707 €/m2,"0,005","0,032","0,153",4.905 €/m2 mayo 2025,"- 4,0 %",2024
Palma de Mallorca,4.442 €/m2,"0,007","0,031","0,146",4.772 €/m2 mayo 2025,"- 6,9 %",2024
Canarias,2.846 €/m2,"0,02","0,047","0,17",3.039 €/m2 mayo 2025,"- 6,3 %",2024
Las Palmas,2.649 €/m2,"0,017","0,042","0,162",2.778 €/m2 mayo 2025,"- 4,7 %",2024
Las Palmas de Gran Canaria,2.482 €/m2,"0,016","0,046","0,127",2.507 €/m2 mayo 2025,"- 1,0 %",2024
Santa Cruz de Tenerife provincia,3.000 €/m2,"0,023","0,047","0,174",3.224 €/m2 mayo 2025,"- 6,9 %",2024
Santa Cruz de Tenerife,2.144 €/m2,"0,001","0,031","0,05",2.214 €/m2 abr 2025,"- 3,2 %",2024
Cantabria,1.746 €/m2,"0,005","0,03","0,111",2.010 €/m2 feb 2008,"- 13,1 %",2024
Cantabria,1.746 €/m2,"0,005","0,03","0,111",2.010 €/m2 feb 2008,"- 13,1 %",2024
Santander,2.497 €/m2,"- 1,2 %","0,009","0,169",2.727 €/m2 mayo 2025,"- 8,4 %",2024
Castilla y León,1.216 €/m2,"0,004","0,018","0,035",1.481 €/m2 jun 2011,"- 17,8 %",2024
Ávila provincia,917 €/m2,"0,001","- 0,1 %","0,033",1.266 €/m2 mar 2008,"- 27,6 %",2024
Ávila,1.363 €/m2,"- 0,1 %","0,027","0,085",1.744 €/m2 jul 2008,"- 21,8 %",2024
Burgos provincia,1.244 €/m2,"0,003","0,021","0,026",1.655 €/m2 sep 2011,"- 24,8 %",2024
Burgos,1.864 €/m2,"0,009","0,032","0,091",2.176 €/m2 nov 2008,"- 14,3 %",2024
León provincia,1.007 €/m2,"0,002","0,022","0,015",1.351 €/m2 jun 2011,"- 25,4 %",2024
León,1.496 €/m2,"0,011","0,031","0,091",1.898 €/m2 feb 2011,"- 21,2 %",2024
Palencia provincia,1.117 €/m2,"0,009","0,008","0,005",1.335 €/m2 feb 2012,"- 16,3 %",2024
Palencia,1.333 €/m2,"0,012","0,02","0,019",1.724 €/m2 ene 2009,"- 22,7 %",2024
Salamanca provincia,1.405 €/m2,"0,004","0,021","0,053",1.719 €/m2 mar 2011,"- 18,3 %",2024
Salamanca,1.960 €/m2,"0,009","0,028","0,114",2.480 €/m2 mar 2008,"- 21,0 %",2024
Segovia provincia,1.345 €/m2,"0,009","0,009","0,074",1.601 €/m2 sep 2007,"- 16,0 %",2024
Segovia,1.888 €/m2,"0,031","0,016","0,079",2.252 €/m2 mar 2009,"- 16,2 %",2024
Soria provincia,1.159 €/m2,"0,0 %","- 0,8 %","0,014",1.372 €/m2 nov 2010,"- 15,5 %",2024
Soria,1.770 €/m2,"0,025","0,001","0,093",1.913 €/m2 nov 2010,"- 7,5 %",2024
Valladolid provincia,1.467 €/m2,"0,01","0,036","0,068",1.776 €/m2 oct 2007,"- 17,4 %",2024
Valladolid,1.800 €/m2,"0,013","0,052","0,104",2.117 €/m2 oct 2007,"- 14,9 %",2024
Zamora provincia,970 €/m2,"0,008","0,003","0,04",1.368 €/m2 mar 2011,"- 29,1 %",2024
Zamora,1.168 €/m2,"0,003","- 0,6 %","0,045",1.607 €/m2 mar 2011,"- 27,3 %",2024
Castilla-La Mancha,957 €/m2,"0,012","0,022","0,044",1.424 €/m2 mayo 2007,"- 32,8 %",2024
Albacete provincia,1.165 €/m2,"0,005","0,017","0,037",1.570 €/m2 abr 2008,"- 25,8 %",2024
Albacete,1.650 €/m2,"0,0 %","0,027","0,102",1.852 €/m2 jun 2008,"- 10,9 %",2024
Ciudad Real provincia,751 €/m2,"0,01","0,008","0,007",1.391 €/m2 jun 2007,"- 46,0 %",2024
Ciudad Real,1.317 €/m2,"0,027","0,031","0,081",1.877 €/m2 abr 2008,"- 29,8 %",2024
Cuenca provincia,846 €/m2,"- 0,5 %","0,002","- 0,6 %",1.109 €/m2 ago 2008,"- 23,7 %",2024
Cuenca,1.391 €/m2,"- 0,1 %","0,001","0,036",1.674 €/m2 mar 2010,"- 16,9 %",2024
Guadalajara provincia,1.324 €/m2,"0,018","0,041","0,076",1.661 €/m2 jun 2007,"- 20,3 %",2024
Guadalajara,1.733 €/m2,"0,025","0,055","0,09",2.137 €/m2 mayo 2008,"- 18,9 %",2024
Toledo provincia,932 €/m2,"0,008","0,027","0,088",1.465 €/m2 nov 2006,"- 36,4 %",2024
Toledo,1.682 €/m2,"- 0,8 %","0,015","0,111",2.067 €/m2 mayo 2008,"- 18,6 %",2024
Cataluña,2.495 €/m2,"0,008","0,026","0,067",2.677 €/m2 jun 2007,"- 6,8 %",2024
Barcelona provincia,2.814 €/m2,"0,011","0,026","0,067",2.914 €/m2 mayo 2025,"- 3,4 %",2024
Barcelona,4.700 €/m2,"0,011","0,031","0,128",4.895 €/m2 mayo 2025,"- 4,0 %",2024
Girona provincia,2.432 €/m2,"0,002","0,008","0,077",2.522 €/m2 jun 2007,"- 3,6 %",2024
Girona,2.541 €/m2,"- 1,9 %","- 3,6 %","0,034",2.639 €/m2 ago 2024,"- 3,7 %",2024
Lleida provincia,1.423 €/m2,"- 0,1 %","0,03","0,112",2.076 €/m2 ago 2007,"- 31,5 %",2024
Lleida,1.332 €/m2,"- 0,3 %","0,022","0,142",1.742 €/m2 abr 2009,"- 23,5 %",2024
Tarragona provincia,1.623 €/m2,"0,003","0,008","0,066",2.120 €/m2 oct 2006,"- 23,4 %",2024
