Localización,Precio m2,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,Año
Ceuta provincia,2.246 €/m2,"0,004","0,011","0,078",2.393 €/m2 mar 2025,"- 6,1 %",2020
Comunitat Valenciana,1.413 €/m2,"0,006","0,012","0,02",2.207 €/m2 mayo 2025,"- 36,0 %",2020
Alicante/Alacant,1.607 €/m2,"0,004","0,003","0,029",2.521 €/m2 mayo 2025,"- 36,2 %",2020
Alicante / Alacant,1.490 €/m2,"- 0,3 %","- 1,4 %","- 1,2 %",2.371 €/m2 mayo 2025,"- 37,1 %",2020
Castellón/Castelló,1.090 €/m2,"0,005","0,01","- 2,1 %",1.953 €/m2 jul 2007,"- 44,2 %",2020
Castellón de la Plana / Castello de la Plana,1.099 €/m2,"0,012","0,012","- 2,2 %",1.831 €/m2 ene 2008,"- 40,0 %",2020
Valencia/Valéncia,1.224 €/m2,"0,003","0,016","0,0 %",1.943 €/m2 oct 2006,"- 37,0 %",2020
València,1.831 €/m2,"0,0 %","0,0 %","0,01",3.017 €/m2 mayo 2025,"- 39,3 %",2020
Euskadi,2.641 €/m2,"0,002","0,006","0,032",3.255 €/m2 abr 2011,"- 18,9 %",2020
Álava,2.045 €/m2,"0,0 %","0,006","0,024",2.490 €/m2 ene 2011,"- 17,9 %",2020
Vitoria-Gasteiz,2.279 €/m2,"0,001","- 0,9 %","0,016",2.975 €/m2 oct 2008,"- 23,4 %",2020
Guipúzcoa,3.149 €/m2,"0,007","0,008","0,066",3.862 €/m2 mayo 2025,"- 18,5 %",2020
Donostia-San Sebastián,4.799 €/m2,"- 0,1 %","- 1,4 %","0,059",6.025 €/m2 mayo 2025,"- 20,4 %",2020
Vizcaya,2.589 €/m2,"0,001","0,008","0,016",3.360 €/m2 abr 2011,"- 22,9 %",2020
Bilbao,3.015 €/m2,"- 0,1 %","0,0 %","0,04",3.591 €/m2 mayo 2011,"- 16,0 %",2020
Extremadura,921 €/m2,"0,005","0,027","0,034",1.217 €/m2 abr 2011,"- 24,3 %",2020
Badajoz provincia,919 €/m2,"0,004","0,021","0,022",1.278 €/m2 abr 2011,"- 28,1 %",2020
Badajoz,1.219 €/m2,"0,006","0,022","0,034",1.719 €/m2 abr 2008,"- 29,1 %",2020
Cáceres provincia,925 €/m2,"0,006","0,037","0,051",1.174 €/m2 mar 2008,"- 21,2 %",2020
Cáceres,1.142 €/m2,"- 0,2 %","- 0,5 %","0,02",1.600 €/m2 jul 2008,"- 28,6 %",2020
Galicia,1.327 €/m2,"0,002","0,008","- 0,3 %",1.775 €/m2 nov 2011,"- 25,3 %",2020
A Coruña provincia,1.304 €/m2,"- 0,2 %","0,003","- 1,0 %",1.832 €/m2 nov 2011,"- 28,9 %",2020
A Coruña,2.130 €/m2,"0,001","- 0,3 %","0,062",2.895 €/m2 ago 2008,"- 26,4 %",2020
Lugo provincia,1.012 €/m2,"0,005","0,004","- 1,6 %",1.616 €/m2 mayo 2011,"- 37,4 %",2020
Lugo,1.266 €/m2,"0,009","- 1,7 %","0,01",1.918 €/m2 jun 2011,"- 34,0 %",2020
Ourense provincia,1.164 €/m2,"0,008","0,033","0,025",1.531 €/m2 nov 2011,"- 24,0 %",2020
Ourense,1.447 €/m2,"0,007","0,028","0,047",1.914 €/m2 nov 2011,"- 24,4 %",2020
Pontevedra provincia,1.504 €/m2,"0,004","0,012","0,008",1.935 €/m2 jun 2007,"- 22,3 %",2020
Pontevedra,1.614 €/m2,"- 0,6 %","0,004","0,039",2.154 €/m2 mayo 2025,"- 25,0 %",2020
La Rioja,1.240 €/m2,"0,009","0,012","0,034",1.652 €/m2 ene 2008,"- 25,0 %",2020
La Rioja,1.240 €/m2,"0,009","0,012","0,034",1.652 €/m2 ene 2008,"- 25,0 %",2020
Logroño,1.575 €/m2,"0,003","- 0,4 %","0,01",1.993 €/m2 abr 2011,"- 21,0 %",2020
Madrid Comunidad,2.774 €/m2,"0,006","0,022","0,019",4.234 €/m2 mayo 2025,"- 34,5 %",2020
Madrid provincia,2.774 €/m2,"0,006","0,022","0,019",4.234 €/m2 mayo 2025,"- 34,5 %",2020
Madrid,3.597 €/m2,"0,0 %","- 0,3 %","- 1,2 %",5.573 €/m2 mayo 2025,"- 35,5 %",2020
Melilla,1.777 €/m2,"0,0 %","0,005","0,007",2.073 €/m2 mayo 2025,"- 14,2 %",2020
Melilla provincia,1.777 €/m2,"0,0 %","0,005","0,007",2.073 €/m2 mayo 2025,"- 14,2 %",2020
Melilla,1.777 €/m2,"0,0 %","0,005","0,007",2.073 €/m2 mayo 2025,"- 14,2 %",2020
Murcia Región,1.048 €/m2,"0,001","0,004","- 0,9 %",1.786 €/m2 sep 2006,"- 41,3 %",2020
Murcia provincia,1.048 €/m2,"0,001","0,004","- 0,9 %",1.786 €/m2 sep 2006,"- 41,3 %",2020
Murcia,1.073 €/m2,"- 0,8 %","- 0,4 %","- 2,1 %",1.757 €/m2 sep 2007,"- 38,9 %",2020
Navarra,1.451 €/m2,"0,0 %","0,014","0,017",1.870 €/m2 oct 2007,"- 22,4 %",2020
Navarra,1.451 €/m2,"0,0 %","0,014","0,017",1.870 €/m2 oct 2007,"- 22,4 %",2020
Pamplona/Iruña,2.241 €/m2,"- 0,4 %","0,01","0,015",2.827 €/m2 dic 2024,"- 20,7 %",2020
