Total Nacional;Comunidades y Ciudades Autónomas;Superficie útil de la vivienda;Tamaño del hogar;periodo;Total
Total Nacional;;Entre 106 y 150 m2;7 personas;2017;13,1
Total Nacional;;Entre 106 y 150 m2;7 personas;2016;8,1
Total Nacional;;Entre 106 y 150 m2;7 personas;2015;7,3
Total Nacional;;Entre 106 y 150 m2;7 personas;2014;11,8
Total Nacional;;Entre 106 y 150 m2;7 personas;2013;7,9
Total Nacional;;Entre 106 y 150 m2;8 personas o más;2020;12,3
Total Nacional;;Entre 106 y 150 m2;8 personas o más;2019;13,5
Total Nacional;;Entre 106 y 150 m2;8 personas o más;2018;5,0
Total Nacional;;Entre 106 y 150 m2;8 personas o más;2017;3,4
Total Nacional;;Entre 106 y 150 m2;8 personas o más;2016;6,1
Total Nacional;;Entre 106 y 150 m2;8 personas o más;2015;4,0
Total Nacional;;Entre 106 y 150 m2;8 personas o más;2014;3,7
Total Nacional;;Entre 106 y 150 m2;8 personas o más;2013;3,9
Total Nacional;;Más de 150 m2;Total;2020;2.110,7
Total Nacional;;Más de 150 m2;Total;2019;1.993,3
Total Nacional;;Más de 150 m2;Total;2018;1.889,0
Total Nacional;;Más de 150 m2;Total;2017;1.709,5
Total Nacional;;Más de 150 m2;Total;2016;1.939,2
Total Nacional;;Más de 150 m2;Total;2015;1.957,2
Total Nacional;;Más de 150 m2;Total;2014;1.890,3
Total Nacional;;Más de 150 m2;Total;2013;1.788,0
Total Nacional;;Más de 150 m2;1 persona;2020;331,2
Total Nacional;;Más de 150 m2;1 persona;2019;315,0
Total Nacional;;Más de 150 m2;1 persona;2018;293,3
Total Nacional;;Más de 150 m2;1 persona;2017;273,4
Total Nacional;;Más de 150 m2;1 persona;2016;306,0
Total Nacional;;Más de 150 m2;1 persona;2015;273,4
Total Nacional;;Más de 150 m2;1 persona;2014;284,8
Total Nacional;;Más de 150 m2;1 persona;2013;254,2
Total Nacional;;Más de 150 m2;2 personas;2020;618,2
Total Nacional;;Más de 150 m2;2 personas;2019;555,7
Total Nacional;;Más de 150 m2;2 personas;2018;533,7
Total Nacional;;Más de 150 m2;2 personas;2017;485,1
Total Nacional;;Más de 150 m2;2 personas;2016;577,4
Total Nacional;;Más de 150 m2;2 personas;2015;553,2
Total Nacional;;Más de 150 m2;2 personas;2014;539,4
Total Nacional;;Más de 150 m2;2 personas;2013;505,9
