comunidades_y_ciudades_autónomas,superficie_util,tamaño_hogar,año,total,estimado
01 Andalucia,Entre 106 y 150 m2,6 personas,2015,7.5,False
01 Andalucia,Entre 106 y 150 m2,6 personas,2014,13.2,False
01 Andalucia,Entre 106 y 150 m2,6 personas,2013,9.6,False
01 Andalucia,Entre 106 y 150 m2,7 personas,2020,5.8,False
01 Andalucia,Entre 106 y 150 m2,7 personas,2019,4.5,False
01 Andalucia,Entre 106 y 150 m2,7 personas,2018,1.4,False
01 Andalucia,Entre 106 y 150 m2,7 personas,2017,2.9,False
01 Andalucia,Entre 106 y 150 m2,7 personas,2016,1.4,False
01 Andalucia,Entre 106 y 150 m2,7 personas,2015,1.0,False
01 Andalucia,Entre 106 y 150 m2,7 personas,2014,3.5,False
01 Andalucia,Entre 106 y 150 m2,7 personas,2013,1.7,False
01 Andalucia,Entre 106 y 150 m2,8 personas o más,2020,3.0,False
01 Andalucia,Entre 106 y 150 m2,8 personas o más,2019,1.6,False
01 Andalucia,Entre 106 y 150 m2,8 personas o más,2018,1.6,False
01 Andalucia,Entre 106 y 150 m2,8 personas o más,2017,0.7,False
01 Andalucia,Entre 106 y 150 m2,8 personas o más,2016,2.9,False
01 Andalucia,Entre 106 y 150 m2,8 personas o más,2015,0.8,False
01 Andalucia,Entre 106 y 150 m2,8 personas o más,2014,1.4,False
01 Andalucia,Entre 106 y 150 m2,8 personas o más,2013,0.5,False
01 Andalucia,Más de 150 m2,Total,2020,340.1,False
01 Andalucia,Más de 150 m2,Total,2019,335.3,False
01 Andalucia,Más de 150 m2,Total,2018,295.3,False
01 Andalucia,Más de 150 m2,Total,2017,306.7,False
01 Andalucia,Más de 150 m2,Total,2016,349.0,False
01 Andalucia,Más de 150 m2,Total,2015,358.4,False
01 Andalucia,Más de 150 m2,Total,2014,359.7,False
01 Andalucia,Más de 150 m2,Total,2013,315.4,False
01 Andalucia,Más de 150 m2,1 persona,2020,63.5,False
01 Andalucia,Más de 150 m2,1 persona,2019,53.3,False
01 Andalucia,Más de 150 m2,1 persona,2018,45.1,False
01 Andalucia,Más de 150 m2,1 persona,2017,47.7,False
01 Andalucia,Más de 150 m2,1 persona,2016,52.9,False
01 Andalucia,Más de 150 m2,1 persona,2015,45.3,False
01 Andalucia,Más de 150 m2,1 persona,2014,50.1,False
01 Andalucia,Más de 150 m2,1 persona,2013,43.6,False
01 Andalucia,Más de 150 m2,2 personas,2020,99.7,False
01 Andalucia,Más de 150 m2,2 personas,2019,89.8,False
01 Andalucia,Más de 150 m2,2 personas,2018,85.7,False
01 Andalucia,Más de 150 m2,2 personas,2017,95.3,False
01 Andalucia,Más de 150 m2,2 personas,2016,109.0,False
01 Andalucia,Más de 150 m2,2 personas,2015,102.3,False
01 Andalucia,Más de 150 m2,2 personas,2014,103.3,False
01 Andalucia,Más de 150 m2,2 personas,2013,93.3,False
01 Andalucia,Más de 150 m2,3 personas,2020,66.8,False
01 Andalucia,Más de 150 m2,3 personas,2019,73.2,False
01 Andalucia,Más de 150 m2,3 personas,2018,59.6,False
01 Andalucia,Más de 150 m2,3 personas,2017,62.3,False
01 Andalucia,Más de 150 m2,3 personas,2016,71.1,False
01 Andalucia,Más de 150 m2,3 personas,2015,75.7,False
01 Andalucia,Más de 150 m2,3 personas,2014,82.0,False
01 Andalucia,Más de 150 m2,3 personas,2013,69.3,False
01 Andalucia,Más de 150 m2,4 personas,2020,80.3,False
01 Andalucia,Más de 150 m2,4 personas,2019,84.8,False
01 Andalucia,Más de 150 m2,4 personas,2018,74.5,False
01 Andalucia,Más de 150 m2,4 personas,2017,72.1,False
01 Andalucia,Más de 150 m2,4 personas,2016,78.9,False
01 Andalucia,Más de 150 m2,4 personas,2015,95.0,False
01 Andalucia,Más de 150 m2,4 personas,2014,84.2,False
01 Andalucia,Más de 150 m2,4 personas,2013,73.4,False
01 Andalucia,Más de 150 m2,5 personas,2020,18.1,False
01 Andalucia,Más de 150 m2,5 personas,2019,25.4,False
01 Andalucia,Más de 150 m2,5 personas,2018,24.4,False
01 Andalucia,Más de 150 m2,5 personas,2017,22.1,False
01 Andalucia,Más de 150 m2,5 personas,2016,27.6,False
01 Andalucia,Más de 150 m2,5 personas,2015,30.9,False
01 Andalucia,Más de 150 m2,5 personas,2014,31.1,False
01 Andalucia,Más de 150 m2,5 personas,2013,23.1,False
01 Andalucia,Más de 150 m2,6 personas,2020,8.2,False
01 Andalucia,Más de 150 m2,6 personas,2019,4.9,False
01 Andalucia,Más de 150 m2,6 personas,2018,3.7,False
01 Andalucia,Más de 150 m2,6 personas,2017,5.1,False
01 Andalucia,Más de 150 m2,6 personas,2016,8.4,False
01 Andalucia,Más de 150 m2,6 personas,2015,5.9,False
01 Andalucia,Más de 150 m2,6 personas,2014,7.4,False
01 Andalucia,Más de 150 m2,6 personas,2013,10.4,False
01 Andalucia,Más de 150 m2,7 personas,2020,3.6,False
01 Andalucia,Más de 150 m2,7 personas,2019,2.6,False
01 Andalucia,Más de 150 m2,7 personas,2018,0.7,False
01 Andalucia,Más de 150 m2,7 personas,2017,1.7,False
01 Andalucia,Más de 150 m2,7 personas,2016,0.4,False
01 Andalucia,Más de 150 m2,7 personas,2015,1.4,False
01 Andalucia,Más de 150 m2,7 personas,2014,0.5,False
01 Andalucia,Más de 150 m2,7 personas,2013,1.4,False
01 Andalucia,Más de 150 m2,8 personas o más,2019,1.2,False
01 Andalucia,Más de 150 m2,8 personas o más,2018,1.6,False
01 Andalucia,Más de 150 m2,8 personas o más,2017,0.4,False
01 Andalucia,Más de 150 m2,8 personas o más,2016,0.7,False
01 Andalucia,Más de 150 m2,8 personas o más,2015,1.8,False
01 Andalucia,Más de 150 m2,8 personas o más,2014,1.1,False
01 Andalucia,Más de 150 m2,8 personas o más,2013,1.0,False
02 Aragon,Total,Total,2020,543.4,False
02 Aragon,Total,Total,2019,539.7,False
02 Aragon,Total,Total,2018,537.6,False
02 Aragon,Total,Total,2017,537.2,False
02 Aragon,Total,Total,2016,537.8,False
02 Aragon,Total,Total,2015,538.7,False
02 Aragon,Total,Total,2014,540.0,False
02 Aragon,Total,Total,2013,538.5,False
02 Aragon,Total,1 persona,2020,151.3,False
02 Aragon,Total,1 persona,2019,148.6,False
02 Aragon,Total,1 persona,2018,147.3,False
02 Aragon,Total,1 persona,2017,146.4,False
02 Aragon,Total,1 persona,2016,145.9,False
02 Aragon,Total,1 persona,2015,145.2,False
02 Aragon,Total,1 persona,2014,144.7,False
02 Aragon,Total,1 persona,2013,141.7,False
02 Aragon,Total,2 personas,2020,170.7,False
02 Aragon,Total,2 personas,2019,169.4,False
02 Aragon,Total,2 personas,2018,168.8,False
02 Aragon,Total,2 personas,2017,168.7,False
02 Aragon,Total,2 personas,2016,169.2,False
02 Aragon,Total,2 personas,2015,169.5,False
02 Aragon,Total,2 personas,2014,169.8,False
02 Aragon,Total,2 personas,2013,169.1,False
02 Aragon,Total,3 personas,2020,109.4,False
