Comunidades y Ciudades Autónomas,Tipo Vivienda,Tipo Indicador,Periodo,Total
01 Andalucía,General,Variación en lo que va de año,2009T2,-0.9
01 Andalucía,General,Variación en lo que va de año,2009T1,-1.0
01 Andalucía,General,Variación en lo que va de año,2008T4,-2.9
01 Andalucía,General,Variación en lo que va de año,2008T3,-0.3
01 Andalucía,General,Variación en lo que va de año,2008T2,-0.4
01 Andalucía,General,Variación en lo que va de año,2008T1,0.0
01 Andalucía,General,Variación en lo que va de año,2007T4,11.1
01 Andalucía,General,Variación en lo que va de año,2007T3,9.6
01 Andalucía,General,Variación en lo que va de año,2007T2,7.1
01 Andalucía,General,Variación en lo que va de año,2007T1,4.0
01 Andalucía,Vivienda nueva,Índice,2025T1,212.796
01 Andalucía,Vivienda nueva,Índice,2024T4,203.521
01 Andalucía,Vivienda nueva,Índice,2024T3,201.651
01 Andalucía,Vivienda nueva,Índice,2024T2,188.391
01 Andalucía,Vivienda nueva,Índice,2024T1,184.535
01 Andalucía,Vivienda nueva,Índice,2023T4,173.254
01 Andalucía,Vivienda nueva,Índice,2023T3,177.265
01 Andalucía,Vivienda nueva,Índice,2023T2,166.201
01 Andalucía,Vivienda nueva,Índice,2023T1,165.549
01 Andalucía,Vivienda nueva,Índice,2022T4,164.477
01 Andalucía,Vivienda nueva,Índice,2022T3,158.385
01 Andalucía,Vivienda nueva,Índice,2022T2,156.989
01 Andalucía,Vivienda nueva,Índice,2022T1,156.363
01 Andalucía,Vivienda nueva,Índice,2021T4,151.316
01 Andalucía,Vivienda nueva,Índice,2021T3,148.697
01 Andalucía,Vivienda nueva,Índice,2021T2,141.129
01 Andalucía,Vivienda nueva,Índice,2021T1,138.982
01 Andalucía,Vivienda nueva,Índice,2020T4,140.672
01 Andalucía,Vivienda nueva,Índice,2020T3,138.942
01 Andalucía,Vivienda nueva,Índice,2020T2,133.607
01 Andalucía,Vivienda nueva,Índice,2020T1,130.88
01 Andalucía,Vivienda nueva,Índice,2019T4,128.593
01 Andalucía,Vivienda nueva,Índice,2019T3,131.319
01 Andalucía,Vivienda nueva,Índice,2019T2,125.02
01 Andalucía,Vivienda nueva,Índice,2019T1,121.873
01 Andalucía,Vivienda nueva,Índice,2018T4,120.724
01 Andalucía,Vivienda nueva,Índice,2018T3,120.063
01 Andalucía,Vivienda nueva,Índice,2018T2,116.144
01 Andalucía,Vivienda nueva,Índice,2018T1,113.862
01 Andalucía,Vivienda nueva,Índice,2017T4,112.82
01 Andalucía,Vivienda nueva,Índice,2017T3,112.577
01 Andalucía,Vivienda nueva,Índice,2017T2,111.232
01 Andalucía,Vivienda nueva,Índice,2017T1,109.118
01 Andalucía,Vivienda nueva,Índice,2016T4,106.75
01 Andalucía,Vivienda nueva,Índice,2016T3,107.653
01 Andalucía,Vivienda nueva,Índice,2016T2,109.103
01 Andalucía,Vivienda nueva,Índice,2016T1,104.833
01 Andalucía,Vivienda nueva,Índice,2015T4,102.005
01 Andalucía,Vivienda nueva,Índice,2015T3,100.156
01 Andalucía,Vivienda nueva,Índice,2015T2,100.469
01 Andalucía,Vivienda nueva,Índice,2015T1,97.371
01 Andalucía,Vivienda nueva,Índice,2014T4,95.789
01 Andalucía,Vivienda nueva,Índice,2014T3,95.366
01 Andalucía,Vivienda nueva,Índice,2014T2,94.562
01 Andalucía,Vivienda nueva,Índice,2014T1,93.643
01 Andalucía,Vivienda nueva,Índice,2013T4,93.33
01 Andalucía,Vivienda nueva,Índice,2013T3,93.591
01 Andalucía,Vivienda nueva,Índice,2013T2,92.34
01 Andalucía,Vivienda nueva,Índice,2013T1,94.444
01 Andalucía,Vivienda nueva,Índice,2012T4,99.005
01 Andalucía,Vivienda nueva,Índice,2012T3,101.471
01 Andalucía,Vivienda nueva,Índice,2012T2,102.727
01 Andalucía,Vivienda nueva,Índice,2012T1,106.656
01 Andalucía,Vivienda nueva,Índice,2011T4,110.674
01 Andalucía,Vivienda nueva,Índice,2011T3,113.331
01 Andalucía,Vivienda nueva,Índice,2011T2,115.418
01 Andalucía,Vivienda nueva,Índice,2011T1,115.718
01 Andalucía,Vivienda nueva,Índice,2010T4,116.809
01 Andalucía,Vivienda nueva,Índice,2010T3,117.549
01 Andalucía,Vivienda nueva,Índice,2010T2,120.843
01 Andalucía,Vivienda nueva,Índice,2010T1,118.545
01 Andalucía,Vivienda nueva,Índice,2009T4,119.491
01 Andalucía,Vivienda nueva,Índice,2009T3,120.369
01 Andalucía,Vivienda nueva,Índice,2009T2,121.007
01 Andalucía,Vivienda nueva,Índice,2009T1,121.762
01 Andalucía,Vivienda nueva,Índice,2008T4,121.632
01 Andalucía,Vivienda nueva,Índice,2008T3,123.127
01 Andalucía,Vivienda nueva,Índice,2008T2,120.303
01 Andalucía,Vivienda nueva,Índice,2008T1,119.352
01 Andalucía,Vivienda nueva,Índice,2007T4,119.087
01 Andalucía,Vivienda nueva,Índice,2007T3,115.067
01 Andalucía,Vivienda nueva,Índice,2007T2,111.404
01 Andalucía,Vivienda nueva,Índice,2007T1,108.32
01 Andalucía,Vivienda nueva,Variación trimestral,2025T1,4.6
01 Andalucía,Vivienda nueva,Variación trimestral,2024T4,0.9
01 Andalucía,Vivienda nueva,Variación trimestral,2024T3,7.0
01 Andalucía,Vivienda nueva,Variación trimestral,2024T2,2.1
01 Andalucía,Vivienda nueva,Variación trimestral,2024T1,6.5
01 Andalucía,Vivienda nueva,Variación trimestral,2023T4,-2.3
01 Andalucía,Vivienda nueva,Variación trimestral,2023T3,6.7
01 Andalucía,Vivienda nueva,Variación trimestral,2023T2,0.4
01 Andalucía,Vivienda nueva,Variación trimestral,2023T1,0.7
01 Andalucía,Vivienda nueva,Variación trimestral,2022T4,3.8
01 Andalucía,Vivienda nueva,Variación trimestral,2022T3,0.9
01 Andalucía,Vivienda nueva,Variación trimestral,2022T2,0.4
01 Andalucía,Vivienda nueva,Variación trimestral,2022T1,3.3
01 Andalucía,Vivienda nueva,Variación trimestral,2021T4,1.8
01 Andalucía,Vivienda nueva,Variación trimestral,2021T3,5.4
01 Andalucía,Vivienda nueva,Variación trimestral,2021T2,1.5
01 Andalucía,Vivienda nueva,Variación trimestral,2021T1,-1.2
01 Andalucía,Vivienda nueva,Variación trimestral,2020T4,1.2
01 Andalucía,Vivienda nueva,Variación trimestral,2020T3,4.0
01 Andalucía,Vivienda nueva,Variación trimestral,2020T2,2.1
01 Andalucía,Vivienda nueva,Variación trimestral,2020T1,1.8
01 Andalucía,Vivienda nueva,Variación trimestral,2019T4,-2.1
01 Andalucía,Vivienda nueva,Variación trimestral,2019T3,5.0
01 Andalucía,Vivienda nueva,Variación trimestral,2019T2,2.6
01 Andalucía,Vivienda nueva,Variación trimestral,2019T1,1.0
01 Andalucía,Vivienda nueva,Variación trimestral,2018T4,0.6
01 Andalucía,Vivienda nueva,Variación trimestral,2018T3,3.4
01 Andalucía,Vivienda nueva,Variación trimestral,2018T2,2.0
